,id,timestamp,timestamp_local,sn,rh,temp,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,opcn3_pm1,opcn3_pm25,opcn3_pm10,pm1_env,pm25_env,pm10_env,neph_bin0,wd,ws,co2_raw,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,o3_we,o3_ae,so2_we,so2_ae,h2s_we,h2s_ae,co_diff,no_diff,no2_diff,ox_diff,so2_diff,h2s_diff,flag,lat,lon,device_state
0,60,2021-10-08T19:11:37Z,2021-10-08T19:11:37Z,MOD-00014,46.7,23.9,3.3906,0.1924,0.018,0.007,0.0106,0.0106,0.0072,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.83,1.37,3.8,5.6,5.9,905.25,0.0,0.0,,3293.4,2285.5,,,,,,,670.1,661.8,,,1007.9,,,,8.30000000000007,,24,,,PRE-REGISTERED
1,59,2021-10-08T19:10:37Z,2021-10-08T19:10:37Z,MOD-00014,46.7,23.9,3.6087,0.1773,0.0591,0.0148,0.0074,0.0112,0.0037,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.77,1.86,3.2,4.5,5.5,781.875,0.0,0.0,,3293.4,2284.4,,,,,,,670.1,662.6,,,1009.0,,,,7.5,,24,,,PRE-REGISTERED
2,58,2021-10-08T19:09:37Z,2021-10-08T19:09:37Z,MOD-00014,46.6,23.9,3.2446,0.2021,0.0382,0.0136,0.0,0.0034,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.66,4.5,6.8,7.1,903.75,0.0,0.0,,3293.3,2284.7,,,,,,,670.5,662.7,,,1008.6,,,,7.79999999999995,,24,,,PRE-REGISTERED
3,57,2021-10-08T19:08:37Z,2021-10-08T19:08:37Z,MOD-00014,46.5,23.9,3.3252,0.1686,0.0633,0.014,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.63,0.65,3.6,4.9,6.0,863.25,0.0,0.0,,3293.4,2283.8,,,,,,,670.0,662.2,,,1009.6,,,,7.79999999999995,,24,,,PRE-REGISTERED
4,56,2021-10-08T19:07:37Z,2021-10-08T19:07:37Z,MOD-00014,46.5,23.9,3.6198,0.1816,0.0581,0.0109,0.0,0.0108,0.0036,0.0109,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.89,2.07,3.6,5.6,6.0,740.625,0.0,0.0,,3293.3,2284.2,,,,,,,670.2,661.6,,,1009.1,,,,8.60000000000002,,24,,,PRE-REGISTERED
5,55,2021-10-08T19:06:37Z,2021-10-08T19:06:37Z,MOD-00014,46.3,23.9,3.4999,0.1055,0.0546,0.0036,0.0182,0.0036,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.65,1.17,2.8,4.1,5.0,704.25,0.0,0.0,,3293.4,2284.7,,,,,,,670.3,662.2,,,1008.7,,,,8.09999999999991,,24,,,PRE-REGISTERED
6,54,2021-10-08T19:05:37Z,2021-10-08T19:05:37Z,MOD-00014,46.4,23.9,3.511,0.1894,0.0396,0.0143,0.018,0.0,0.0036,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.68,2.26,3.8,6.0,6.0,862.125,0.0,0.0,,3293.4,2285.7,,,,,,,669.8,662.2,,,1007.7,,,,7.59999999999991,,24,,,PRE-REGISTERED
7,53,2021-10-08T19:04:37Z,2021-10-08T19:04:37Z,MOD-00014,46.5,23.9,3.4886,0.1505,0.0736,0.0105,0.0142,0.0035,0.0,0.0034,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.69,3.04,3.8,5.1,5.8,850.5,0.0,0.0,,3293.4,2283.5,,,,,,,669.8,662.2,,,1009.9,,,,7.59999999999991,,24,,,PRE-REGISTERED
8,52,2021-10-08T19:03:37Z,2021-10-08T19:03:37Z,MOD-00014,46.6,23.9,3.2961,0.231,0.0593,0.0,0.0,0.0104,0.0035,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72,1.76,2.8,4.2,4.2,769.5,0.0,0.0,,3293.4,2282.1,,,,,,,670.2,662.5,,,1011.3,,,,7.70000000000005,,24,,,PRE-REGISTERED
9,51,2021-10-08T19:02:37Z,2021-10-08T19:02:37Z,MOD-00014,46.7,23.9,3.3734,0.1604,0.0648,0.017,0.0137,0.0068,0.0035,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.76,1.04,2.8,4.4,4.4,738.375,0.0,0.0,,3293.3,2281.7,,,,,,,670.5,662.4,,,1011.6,,,,8.10000000000002,,24,,,PRE-REGISTERED
